location,variety,treatment,variety_treatment,block,sub_plot,vc_row1,vc_row2,v1_row1,v1_row2,r2_row1,r2_row2,r8_row1,r8_row2,damping_off,moisture,weight_kg,yield_bu.acre,vc_plants.m2,v1_plants.m2,r2_plants.m2,r8_plants.m2,yield.kg_ha,whole_plot
"Boone, IA",H2512NX,intego,11,2,203,25,28,24,26,24,25,26,29,0,9.97,2.09105912,44.604,11,11,11,12,2800,2:H2512NX
"Boone, IA",H2512NX,intego,11,3,309,24,21,23,20,24,20,25,22,0,9.79,2.4085735199999996,43.46,10,9,9,10,2728,3:H2512NX
"Boone, IA",H2512NX,intego,11,4,413,20,19,22,18,20,22,19,20,0,9.96,2.4720764,36.809,8,9,9,8,2311,4:H2512NX
"Boone, IA",H2512NX,control,12,1,112,23,25,25,23,27,26,25,25,0,9.81,2.3586784,44.99,10,10,11,11,2824,1:H2512NX
"Boone, IA",H2512NX,control,12,2,204,21,24,23,22,25,22,22,24,0,9.79,2.0184844,41.159,10,10,10,10,2584,2:H2512NX
"Boone, IA",H2512NX,control,12,3,310,30,31,32,28,32,27,30,29,0,9.81,2.27249592,45.632,13,13,13,13,2864,3:H2512NX
"Boone, IA",H2512NX,control,12,4,414,21,20,22,29,22,25,20,17,0,9.8,2.3722861600000003,36.157,9,11,10,8,2270,4:H2512NX
"Boone, IA",NK3195X,intego,13,1,113,24,25,27,22,28,23,24,26,0,9.55,2.3722861600000003,45.114,11,11,11,11,2832,1:NK3195X
"Boone, IA",NK3195X,intego,13,2,205,29,32,28,34,36,37,30,35,0,9.67,2.14549016,56.029,13,13,16,14,3517,2:NK3195X
"Boone, IA",NK3195X,intego,13,3,301,28,25,32,29,30,32,29,25,0,9.89,2.57640256,52.579,11,13,13,12,3300,3:NK3195X
"Boone, IA",NK3195X,intego,13,4,405,31,35,34,35,35,35,32,35,0,9.82,1.94137376,52.675,14,15,15,14,3306,4:NK3195X
"Boone, IA",NK3195X,control,14,1,114,17,16,19,15,17,14,15,16,0,9.73,1.9050864,31.423,7,7,7,7,1972,1:NK3195X
"Boone, IA",NK3195X,control,14,2,206,27,28,28,30,30,30,28,26,0,9.27,1.71004184,47.882,12,12,13,12,3006,2:NK3195X
"Boone, IA",NK3195X,control,14,3,302,30,35,32,31,32,32,30,34,0,9.8,2.30424736,57.708,14,14,14,14,3622,3:NK3195X
"Boone, IA",NK3195X,control,14,4,406,25,27,26,25,28,25,25,26,0,9.48,1.6510748800000001,46.28,11,11,11,11,2905,4:NK3195X
