line,rep,dai,dead_seedlings,total_seedlings,isolate
LD13-14071R2,rep1,dai.5,5,10,OH4
LD13-14071R2,rep2,dai.10,8,9,OH4
LD13-14071R2,rep2,dai.5,8,9,OH4
LD13-14071R2,rep3,dai.10,10,10,OH4
LD13-14071R2,rep3,dai.5,10,10,OH4
williams79,rep2,dai.10,8,9,OH4
williams79,rep2,dai.5,8,9,OH4
williams79,rep3,dai.10,10,10,OH4
williams79,rep3,dai.5,10,10,OH4
harlon,rep1,dai.10,4,8,OH7
harlon,rep1,dai.5,3,8,OH7
harlon,rep2,dai.10,2,5,OH7
harlon,rep2,dai.5,4,5,OH7
harlon,rep3,dai.10,5,9,OH7
harlon,rep3,dai.5,7,9,OH7
harosoy,rep3,dai.10,10,10,OH7
harosoy,rep3,dai.5,10,10,OH7
harosoy62xx,rep2,dai.10,9,9,OH7
harosoy62xx,rep2,dai.5,8,9,OH7
harosoy62xx,rep3,dai.10,NA,0,OH7
L83-570,rep2,dai.10,9,9,OH7
L83-570,rep2,dai.5,9,9,OH7
L83-570,rep3,dai.10,10,10,OH7
L83-570,rep3,dai.5,10,10,OH7
LD02-4485,rep1,dai.10,8,9,OH7
LD02-4485,rep1,dai.5,7,9,OH7
LD02-4485,rep2,dai.10,7,8,OH7
LD02-4485,rep2,dai.5,7,8,OH7
LD02-4485,rep3,dai.10,3,9,OH7
LD02-4485,rep3,dai.5,3,9,OH7
LD07-3395bf,rep1,dai.10,8,8,OH7
LD07-3395bf,rep1,dai.5,8,8,OH7
LD07-3395bf,rep2,dai.10,7,9,OH7
LD07-3395bf,rep2,dai.5,8,9,OH7
LD07-3395bf,rep3,dai.10,8,9,OH7
LD07-3395bf,rep3,dai.5,8,9,OH7
LD08-12435a,rep1,dai.10,7,7,OH7
LD08-12435a,rep1,dai.5,7,7,OH7
LD08-12435a,rep2,dai.10,4,7,OH7
LD08-12435a,rep2,dai.5,3,7,OH7
LD08-12435a,rep3,dai.10,7,9,OH7
LD08-12435a,rep3,dai.5,9,9,OH7
LD08-12441a,rep1,dai.10,7,9,OH7
LD08-12441a,rep1,dai.5,8,9,OH7
LD08-12441a,rep2,dai.10,9,9,OH7
LD08-12441a,rep2,dai.5,9,9,OH7
LD08-12441a,rep3,dai.10,6,7,OH7
LD08-12441a,rep3,dai.5,7,7,OH7
LD09-10911,rep1,dai.10,9,10,OH7
LD09-10911,rep1,dai.5,9,10,OH7
LD09-10911,rep2,dai.10,9,10,OH7
LD09-10911,rep2,dai.5,9,10,OH7
LD09-10911,rep3,dai.10,10,10,OH7
LD09-10911,rep3,dai.5,10,10,OH7
LD09-30224,rep1,dai.10,6,10,OH7
LD09-30224,rep1,dai.5,6,10,OH7
LD09-30224,rep2,dai.10,7,7,OH7
LD09-30224,rep2,dai.5,7,7,OH7
LD09-30224,rep3,dai.10,9,9,OH7
LD09-30224,rep3,dai.5,9,9,OH7
LD10-10198,rep1,dai.10,9,9,OH7
LD10-10198,rep1,dai.5,9,9,OH7
LD10-10198,rep2,dai.10,10,10,OH7
LD10-10198,rep2,dai.5,10,10,OH7
LD10-10198,rep3,dai.10,9,9,OH7
LD10-10198,rep3,dai.5,9,9,OH7
LD10-10219,rep1,dai.10,10,10,OH7
LD10-10219,rep1,dai.5,10,10,OH7
LD10-10219,rep2,dai.10,7,8,OH7
LD10-10219,rep2,dai.5,7,7,OH7
LD10-10219,rep3,dai.10,5,5,OH7
LD10-10219,rep3,dai.5,5,5,OH7
LD10-5213a,rep1,dai.10,9,10,OH7
LD10-5213a,rep1,dai.5,9,10,OH7
LD10-5213a,rep2,dai.10,9,10,OH7
LD10-5213a,rep2,dai.5,10,10,OH7
LD10-5213a,rep3,dai.10,10,10,OH7
LD10-5213a,rep3,dai.5,10,10,OH7
LD10-9168,rep1,dai.10,8,8,OH7
LD10-9168,rep1,dai.5,8,8,OH7
LD10-9168,rep2,dai.10,9,10,OH7
LD10-9168,rep2,dai.5,10,10,OH7
LD10-9168,rep3,dai.10,10,10,OH7
LD10-9168,rep3,dai.5,10,10,OH7
LD10-9200,rep1,dai.10,9,10,OH7
LD10-9200,rep1,dai.5,9,10,OH7
LD10-9200,rep2,dai.10,8,8,OH7
LD10-9200,rep2,dai.5,8,8,OH7
LD10-9200,rep3,dai.10,10,10,OH7
LD10-9200,rep3,dai.5,10,10,OH7
LD11-10069,rep1,dai.10,2,10,OH7
LD11-10069,rep1,dai.5,2,10,OH7
LD11-10069,rep2,dai.10,4,10,OH7
LD11-10069,rep2,dai.5,3,10,OH7
LD11-10069,rep3,dai.10,3,10,OH7
LD11-10069,rep3,dai.5,0,10,OH7
LD11-13802R2,rep1,dai.10,2,10,OH7
LD11-13802R2,rep1,dai.5,2,10,OH7
LD11-13802R2,rep2,dai.10,8,10,OH7
LD11-13802R2,rep2,dai.5,9,10,OH7
LD11-13802R2,rep3,dai.10,2,10,OH7
LD11-13802R2,rep3,dai.5,1,10,OH7
LD11-14102R2,rep1,dai.10,4,9,OH7
LD11-14102R2,rep1,dai.5,4,9,OH7
LD11-14102R2,rep2,dai.10,8,9,OH7
LD11-14102R2,rep2,dai.5,8,9,OH7
LD11-14102R2,rep3,dai.10,8,10,OH7
LD11-14102R2,rep3,dai.5,8,10,OH7
LD11-2170,rep1,dai.10,2,9,OH7
LD11-2170,rep1,dai.5,2,9,OH7
LD11-2170,rep2,dai.10,4,9,OH7
LD11-2170,rep2,dai.5,4,9,OH7
LD11-2170,rep3,dai.10,2,10,OH7
LD11-2170,rep3,dai.5,3,10,OH7
LD11-7311,rep1,dai.10,1,10,OH7
LD11-7311,rep1,dai.5,1,10,OH7
LD11-7311,rep2,dai.10,1,9,OH7
LD11-7311,rep2,dai.5,0,9,OH7
LD11-7311,rep3,dai.10,0,9,OH7
LD11-7311,rep3,dai.5,0,9,OH7
LD12-10534,rep1,dai.10,9,9,OH7
LD12-10534,rep1,dai.5,9,9,OH7
LD12-10534,rep2,dai.10,9,9,OH7
LD12-10534,rep2,dai.5,9,9,OH7
LD12-10534,rep3,dai.10,8,9,OH7
LD12-10534,rep3,dai.5,8,9,OH7
LD12-12701a,rep1,dai.10,9,9,OH7
LD12-12701a,rep1,dai.5,9,9,OH7
LD12-12701a,rep2,dai.10,9,9,OH7
LD12-12701a,rep2,dai.5,9,9,OH7
LD12-12701a,rep3,dai.10,10,10,OH7
LD12-12701a,rep3,dai.5,10,10,OH7
LD12-15064R1a,rep1,dai.10,0,7,OH7
LD12-15064R1a,rep1,dai.5,0,7,OH7
LD12-15064R1a,rep2,dai.10,0,7,OH7
LD12-15064R1a,rep2,dai.5,3,7,OH7
LD12-15064R1a,rep3,dai.10,3,7,OH7
LD12-15064R1a,rep3,dai.5,5,7,OH7
LD12-15129R1a,rep1,dai.10,2,9,OH7
LD12-15129R1a,rep1,dai.5,2,9,OH7
LD12-15129R1a,rep2,dai.10,2,5,OH7
LD12-15129R1a,rep2,dai.5,2,5,OH7
LD12-15129R1a,rep3,dai.10,1,8,OH7
LD12-15129R1a,rep3,dai.5,7,8,OH7
LD12-15156R1a,rep1,dai.10,0,10,OH7
LD12-15156R1a,rep1,dai.5,0,10,OH7
LD12-15156R1a,rep2,dai.10,1,10,OH7
LD12-15156R1a,rep2,dai.5,1,10,OH7
LD12-15156R1a,rep3,dai.10,2,10,OH7
LD12-15156R1a,rep3,dai.5,3,10,OH7
LD12-15246R2a,rep1,dai.10,6,8,OH7
LD12-15246R2a,rep1,dai.5,6,8,OH7
LD12-15246R2a,rep2,dai.10,6,10,OH7
LD12-15246R2a,rep2,dai.5,7,10,OH7
LD12-15246R2a,rep3,dai.10,2,9,OH7
LD12-15246R2a,rep3,dai.5,3,9,OH7
LD12-15609R2,rep1,dai.10,8,9,OH7
LD12-15609R2,rep1,dai.5,8,9,OH7
LD12-15609R2,rep2,dai.10,8,9,OH7
LD12-15609R2,rep2,dai.5,8,9,OH7
LD12-15609R2,rep3,dai.10,9,10,OH7
LD12-15609R2,rep3,dai.5,9,10,OH7
LD12-3866,rep1,dai.10,10,10,OH7
LD12-3866,rep1,dai.5,10,10,OH7
LD12-3866,rep2,dai.10,10,10,OH7
LD12-3866,rep2,dai.5,10,10,OH7
LD12-3866,rep3,dai.10,10,10,OH7
LD12-3866,rep3,dai.5,10,10,OH7
LD12-459,rep1,dai.10,8,10,OH7
LD12-459,rep1,dai.5,8,10,OH7
LD12-459,rep2,dai.10,5,8,OH7
LD12-459,rep2,dai.5,4,8,OH7
LD12-459,rep3,dai.10,10,10,OH7
LD12-459,rep3,dai.5,10,10,OH7
LD12-6010a,rep1,dai.10,10,10,OH7
LD12-6010a,rep1,dai.5,10,10,OH7
LD12-6010a,rep2,dai.10,9,9,OH7
LD12-6010a,rep2,dai.5,9,9,OH7
LD12-6010a,rep3,dai.10,8,8,OH7
LD12-6010a,rep3,dai.5,8,8,OH7
LD12-8677,rep1,dai.10,5,10,OH7
LD12-8677,rep1,dai.5,5,10,OH7
LD12-8677,rep2,dai.10,2,8,OH7
LD12-8677,rep2,dai.5,5,8,OH7
LD12-8677,rep3,dai.10,2,7,OH7
LD12-8677,rep3,dai.5,3,7,OH7
LD13-13334R1a,rep1,dai.10,0,10,OH7
LD13-13334R1a,rep1,dai.5,0,10,OH7
LD13-13334R1a,rep2,dai.10,4,8,OH7
LD13-13334R1a,rep2,dai.5,4,8,OH7
LD13-13334R1a,rep3,dai.10,0,3,OH7
LD13-13334R1a,rep3,dai.5,1,3,OH7
LD13-13478R1a,rep1,dai.10,9,9,OH7
LD13-13478R1a,rep1,dai.5,9,9,OH7
LD13-13478R1a,rep2,dai.10,10,10,OH7
LD13-13478R1a,rep2,dai.5,10,10,OH7
LD13-13478R1a,rep3,dai.10,10,10,OH7
LD13-13478R1a,rep3,dai.5,10,10,OH7
LD13-14071R2,rep1,dai.10,0,10,OH7
LD13-14071R2,rep1,dai.5,0,10,OH7
LD13-14071R2,rep2,dai.10,5,10,OH7
LD13-14071R2,rep2,dai.5,5,10,OH7
LD13-14071R2,rep3,dai.10,5,10,OH7
LD13-14071R2,rep3,dai.5,5,10,OH7
sloan,rep1,dai.10,6,6,OH7
sloan,rep1,dai.5,5,6,OH7
sloan,rep3,dai.10,NA,0,OH7
harlon,rep1,dai.10,8,8,OH25
harlon,rep1,dai.5,8,8,OH25
harlon,rep2,dai.10,5,6,OH25
harlon,rep2,dai.5,4,6,OH25
harosoy13xx,rep2,dai.10,9,9,OH25
harosoy13xx,rep2,dai.5,9,9,OH25
LD02-4485,rep1,dai.10,8,8,OH25
LD02-4485,rep1,dai.5,8,8,OH25
LD02-4485,rep2,dai.10,8,9,OH25
LD02-4485,rep2,dai.5,6,9,OH25
LD02-4485,rep3,dai.10,8,8,OH25
LD02-4485,rep3,dai.5,8,8,OH25
LD07-3395bf,rep1,dai.10,7,7,OH25
LD07-3395bf,rep1,dai.5,7,7,OH25
LD07-3395bf,rep2,dai.10,6,7,OH25
LD07-3395bf,rep2,dai.5,6,7,OH25
LD07-3395bf,rep3,dai.10,10,10,OH25
LD07-3395bf,rep3,dai.5,10,10,OH25
LD08-12435a,rep1,dai.10,6,6,OH25
LD08-12435a,rep1,dai.5,6,6,OH25
LD08-12435a,rep2,dai.10,6,7,OH25
LD08-12435a,rep2,dai.5,5,7,OH25
LD08-12435a,rep3,dai.10,6,7,OH25
LD08-12435a,rep3,dai.5,5,7,OH25
LD08-12441a,rep1,dai.10,9,9,OH25
LD08-12441a,rep1,dai.5,9,9,OH25
LD08-12441a,rep2,dai.10,8,10,OH25
LD08-12441a,rep2,dai.5,9,10,OH25
LD08-12441a,rep3,dai.10,5,5,OH25
LD08-12441a,rep3,dai.5,5,5,OH25
LD09-10911,rep1,dai.10,9,9,OH25
LD09-10911,rep1,dai.5,9,9,OH25
LD09-10911,rep2,dai.10,10,10,OH25
LD09-10911,rep2,dai.5,10,10,OH25
LD09-10911,rep3,dai.10,8,8,OH25
LD09-10911,rep3,dai.5,8,8,OH25
LD09-30224,rep1,dai.10,10,10,OH25
LD09-30224,rep1,dai.5,10,10,OH25
LD09-30224,rep2,dai.10,6,10,OH25
LD09-30224,rep2,dai.5,6,10,OH25
LD09-30224,rep3,dai.10,9,10,OH25
LD09-30224,rep3,dai.5,9,10,OH25
LD10-10198,rep1,dai.10,9,9,OH25
LD10-10198,rep1,dai.5,9,9,OH25
LD10-10198,rep2,dai.10,7,9,OH25
LD10-10198,rep2,dai.5,7,9,OH25
LD10-10198,rep3,dai.10,10,10,OH25
LD10-10198,rep3,dai.5,10,10,OH25
LD10-10219,rep1,dai.10,9,9,OH25
LD10-10219,rep1,dai.5,9,9,OH25
LD10-10219,rep2,dai.10,9,9,OH25
LD10-10219,rep2,dai.5,9,9,OH25
LD10-10219,rep3,dai.10,10,10,OH25
LD10-10219,rep3,dai.5,10,10,OH25
LD10-5213a,rep1,dai.10,10,10,OH25
LD10-5213a,rep1,dai.5,10,10,OH25
LD10-5213a,rep2,dai.10,9,9,OH25
LD10-5213a,rep2,dai.5,9,9,OH25
LD10-5213a,rep3,dai.10,9,9,OH25
LD10-5213a,rep3,dai.5,9,9,OH25
LD10-9168,rep1,dai.10,8,8,OH25
LD10-9168,rep1,dai.5,8,8,OH25
LD10-9168,rep2,dai.10,8,8,OH25
LD10-9168,rep2,dai.5,8,8,OH25
LD10-9168,rep3,dai.10,10,10,OH25
LD10-9168,rep3,dai.5,10,10,OH25
LD10-9200,rep1,dai.10,8,8,OH25
LD10-9200,rep1,dai.5,8,8,OH25
LD10-9200,rep2,dai.10,9,9,OH25
LD10-9200,rep2,dai.5,9,9,OH25
LD10-9200,rep3,dai.10,8,8,OH25
LD10-9200,rep3,dai.5,8,8,OH25
LD11-10069,rep1,dai.10,10,10,OH25
LD11-10069,rep1,dai.5,10,10,OH25
LD11-10069,rep2,dai.10,9,9,OH25
LD11-10069,rep2,dai.5,9,9,OH25
LD11-10069,rep3,dai.10,8,8,OH25
LD11-10069,rep3,dai.5,8,8,OH25
LD11-13802R2,rep1,dai.10,10,10,OH25
LD11-13802R2,rep1,dai.5,10,10,OH25
LD11-13802R2,rep2,dai.10,8,8,OH25
LD11-13802R2,rep2,dai.5,7,8,OH25
LD11-13802R2,rep3,dai.10,6,7,OH25
LD11-13802R2,rep3,dai.5,6,7,OH25
LD11-14102R2,rep1,dai.10,10,10,OH25
LD11-14102R2,rep1,dai.5,10,10,OH25
LD11-14102R2,rep2,dai.10,8,10,OH25
LD11-14102R2,rep2,dai.5,8,10,OH25
LD11-14102R2,rep3,dai.10,7,7,OH25
LD11-14102R2,rep3,dai.5,7,7,OH25
LD11-2170,rep1,dai.10,10,10,OH25
LD11-2170,rep1,dai.5,9,10,OH25
LD11-2170,rep2,dai.10,6,9,OH25
LD11-2170,rep2,dai.5,6,9,OH25
LD11-2170,rep3,dai.10,8,8,OH25
LD11-2170,rep3,dai.5,8,8,OH25
LD11-7311,rep1,dai.10,8,8,OH25
LD11-7311,rep1,dai.5,8,8,OH25
LD11-7311,rep2,dai.10,10,10,OH25
LD11-7311,rep2,dai.5,10,10,OH25
LD11-7311,rep3,dai.10,8,8,OH25
LD11-7311,rep3,dai.5,8,8,OH25
LD12-10534,rep1,dai.10,9,9,OH25
LD12-10534,rep1,dai.5,9,9,OH25
LD12-10534,rep2,dai.10,8,10,OH25
LD12-10534,rep2,dai.5,7,10,OH25
LD12-10534,rep3,dai.10,8,8,OH25
LD12-10534,rep3,dai.5,8,8,OH25
LD12-12701a,rep1,dai.10,10,10,OH25
LD12-12701a,rep1,dai.5,10,10,OH25
LD12-12701a,rep2,dai.10,9,10,OH25
LD12-12701a,rep2,dai.5,9,10,OH25
LD12-12701a,rep3,dai.10,10,10,OH25
LD12-12701a,rep3,dai.5,10,10,OH25
LD12-15064R1a,rep1,dai.10,5,5,OH25
LD12-15064R1a,rep1,dai.5,5,5,OH25
LD12-15064R1a,rep2,dai.10,9,10,OH25
LD12-15064R1a,rep2,dai.5,9,10,OH25
LD12-15064R1a,rep3,dai.10,8,8,OH25
LD12-15064R1a,rep3,dai.5,8,8,OH25
LD12-15129R1a,rep1,dai.10,10,10,OH25
LD12-15129R1a,rep1,dai.5,10,10,OH25
LD12-15129R1a,rep2,dai.10,10,10,OH25
LD12-15129R1a,rep2,dai.5,10,10,OH25
LD12-15129R1a,rep3,dai.10,7,7,OH25
LD12-15129R1a,rep3,dai.5,7,7,OH25
LD12-15156R1a,rep1,dai.10,8,8,OH25
LD12-15156R1a,rep1,dai.5,7,8,OH25
LD12-15156R1a,rep2,dai.10,7,9,OH25
LD12-15156R1a,rep2,dai.5,7,9,OH25
LD12-15156R1a,rep3,dai.10,8,8,OH25
LD12-15156R1a,rep3,dai.5,8,8,OH25
LD12-15246R2a,rep1,dai.10,4,8,OH25
LD12-15246R2a,rep1,dai.5,4,8,OH25
LD12-15246R2a,rep2,dai.10,9,9,OH25
LD12-15246R2a,rep2,dai.5,9,9,OH25
LD12-15246R2a,rep3,dai.10,9,9,OH25
LD12-15246R2a,rep3,dai.5,9,9,OH25
LD12-15609R2,rep1,dai.10,8,8,OH25
LD12-15609R2,rep1,dai.5,8,8,OH25
LD12-15609R2,rep2,dai.10,9,9,OH25
LD12-15609R2,rep2,dai.5,9,9,OH25
LD12-15609R2,rep3,dai.10,8,8,OH25
LD12-15609R2,rep3,dai.5,8,8,OH25
LD12-3866,rep1,dai.10,10,10,OH25
LD12-3866,rep1,dai.5,9,10,OH25
LD12-3866,rep2,dai.10,8,10,OH25
LD12-3866,rep2,dai.5,8,8,OH25
LD12-3866,rep3,dai.10,8,8,OH25
LD12-3866,rep3,dai.5,8,8,OH25
LD12-459,rep1,dai.10,9,9,OH25
LD12-459,rep1,dai.5,9,9,OH25
LD12-459,rep2,dai.10,9,9,OH25
LD12-459,rep2,dai.5,8,9,OH25
LD12-459,rep3,dai.10,9,9,OH25
LD12-459,rep3,dai.5,9,9,OH25
LD12-6010a,rep1,dai.10,8,8,OH25
LD12-6010a,rep1,dai.5,8,8,OH25
LD12-6010a,rep2,dai.10,9,9,OH25
LD12-6010a,rep2,dai.5,9,9,OH25
LD12-6010a,rep3,dai.10,8,8,OH25
LD12-6010a,rep3,dai.5,8,8,OH25
LD12-8677,rep1,dai.10,9,9,OH25
LD12-8677,rep1,dai.5,9,9,OH25
LD12-8677,rep2,dai.10,8,8,OH25
LD12-8677,rep2,dai.5,8,8,OH25
LD12-8677,rep3,dai.10,10,10,OH25
LD12-8677,rep3,dai.5,10,10,OH25
LD13-13334R1a,rep1,dai.10,9,9,OH25
LD13-13334R1a,rep1,dai.5,9,9,OH25
LD13-13334R1a,rep2,dai.10,8,9,OH25
LD13-13334R1a,rep2,dai.5,8,9,OH25
LD13-13334R1a,rep3,dai.10,8,8,OH25
LD13-13334R1a,rep3,dai.5,8,8,OH25
LD13-13478R1a,rep1,dai.10,9,9,OH25
LD13-13478R1a,rep1,dai.5,9,9,OH25
LD13-13478R1a,rep2,dai.10,6,10,OH25
LD13-13478R1a,rep2,dai.5,6,10,OH25
LD13-13478R1a,rep3,dai.10,10,10,OH25
LD13-13478R1a,rep3,dai.5,10,10,OH25
LD13-14071R2,rep1,dai.10,10,10,OH25
LD13-14071R2,rep1,dai.5,10,10,OH25
LD13-14071R2,rep2,dai.10,9,9,OH25
LD13-14071R2,rep2,dai.5,9,9,OH25
LD13-14071R2,rep3,dai.10,9,9,OH25
LD13-14071R2,rep3,dai.5,9,9,OH25
williams82,rep2,dai.10,9,10,OH25
williams82,rep2,dai.5,9,10,OH25
williams79,rep1,dai.10,6,7,OH25
williams79,rep1,dai.5,6,7,OH25
harlon,rep1,dai.10,2,5,OH28
harlon,rep1,dai.5,2,5,OH28
harlon,rep2,dai.10,7,10,OH28
harlon,rep2,dai.5,7,10,OH28
harlon,rep3,dai.10,4,7,OH28
harlon,rep3,dai.5,4,7,OH28
harosoy,rep2,dai.10,9,9,OH28
harosoy,rep2,dai.5,9,9,OH28
harosoy,rep3,dai.10,6,8,OH28
harosoy,rep3,dai.5,6,8,OH28
harosoy13xx,rep2,dai.10,9,9,OH28
harosoy13xx,rep2,dai.5,9,9,OH28
harosoy13xx,rep3,dai.10,9,10,OH28
harosoy13xx,rep3,dai.5,10,10,OH28
harosoy62xx,rep1,dai.10,7,9,OH28
harosoy62xx,rep1,dai.5,7,9,OH28
L83-570,rep1,dai.10,2,9,OH28
L83-570,rep1,dai.5,2,9,OH28
LD02-4485,rep1,dai.10,5,10,OH28
LD02-4485,rep1,dai.5,5,10,OH28
LD02-4485,rep2,dai.10,5,10,OH28
LD02-4485,rep2,dai.5,5,10,OH28
LD02-4485,rep3,dai.10,3,8,OH28
LD02-4485,rep3,dai.5,3,8,OH28
LD07-3395bf,rep1,dai.10,6,6,OH28
LD07-3395bf,rep1,dai.5,6,6,OH28
LD07-3395bf,rep2,dai.10,9,10,OH28
LD07-3395bf,rep2,dai.5,9,10,OH28
LD07-3395bf,rep3,dai.10,8,8,OH28
LD07-3395bf,rep3,dai.5,8,8,OH28
LD08-12435a,rep1,dai.10,7,7,OH28
LD08-12435a,rep1,dai.5,7,7,OH28
LD08-12435a,rep2,dai.10,6,7,OH28
LD08-12435a,rep2,dai.5,6,7,OH28
LD08-12435a,rep3,dai.10,4,4,OH28
LD08-12435a,rep3,dai.5,4,4,OH28
LD08-12441a,rep1,dai.10,7,7,OH28
LD08-12441a,rep1,dai.5,7,7,OH28
LD08-12441a,rep2,dai.10,8,8,OH28
LD08-12441a,rep2,dai.5,8,8,OH28
LD08-12441a,rep3,dai.10,7,7,OH28
LD08-12441a,rep3,dai.5,7,7,OH28
LD09-10911,rep1,dai.10,8,8,OH28
LD09-10911,rep1,dai.5,8,8,OH28
LD09-10911,rep2,dai.10,10,10,OH28
LD09-10911,rep2,dai.5,10,10,OH28
LD09-10911,rep3,dai.10,8,8,OH28
LD09-10911,rep3,dai.5,8,8,OH28
LD09-30224,rep1,dai.10,10,10,OH28
LD09-30224,rep1,dai.5,10,10,OH28
LD09-30224,rep2,dai.10,9,10,OH28
LD09-30224,rep2,dai.5,9,10,OH28
LD09-30224,rep3,dai.10,7,10,OH28
LD09-30224,rep3,dai.5,7,10,OH28
LD10-10198,rep1,dai.10,9,9,OH28
LD10-10198,rep1,dai.5,9,9,OH28
LD10-10198,rep2,dai.10,10,10,OH28
LD10-10198,rep2,dai.5,10,10,OH28
LD10-10198,rep3,dai.10,10,10,OH28
LD10-10198,rep3,dai.5,10,10,OH28
LD10-10219,rep1,dai.10,8,8,OH28
LD10-10219,rep1,dai.5,8,8,OH28
LD10-10219,rep2,dai.10,10,10,OH28
LD10-10219,rep2,dai.5,10,10,OH28
LD10-10219,rep3,dai.10,9,9,OH28
LD10-10219,rep3,dai.5,9,9,OH28
LD10-5213a,rep1,dai.10,9,9,OH28
LD10-5213a,rep1,dai.5,9,9,OH28
LD10-5213a,rep2,dai.10,8,10,OH28
LD10-5213a,rep2,dai.5,8,10,OH28
LD10-5213a,rep3,dai.10,9,9,OH28
LD10-5213a,rep3,dai.5,9,9,OH28
LD10-9168,rep1,dai.10,8,8,OH28
LD10-9168,rep1,dai.5,8,8,OH28
LD10-9168,rep2,dai.10,9,9,OH28
LD10-9168,rep2,dai.5,9,9,OH28
LD10-9168,rep3,dai.10,8,8,OH28
LD10-9168,rep3,dai.5,8,8,OH28
LD10-9200,rep1,dai.10,6,6,OH28
LD10-9200,rep1,dai.5,6,6,OH28
LD10-9200,rep2,dai.10,9,9,OH28
LD10-9200,rep2,dai.5,9,9,OH28
LD10-9200,rep3,dai.10,10,10,OH28
LD10-9200,rep3,dai.5,10,10,OH28
LD11-10069,rep1,dai.10,1,8,OH28
LD11-10069,rep1,dai.5,1,8,OH28
LD11-10069,rep2,dai.10,6,9,OH28
LD11-10069,rep2,dai.5,4,9,OH28
LD11-10069,rep3,dai.10,1,9,OH28
LD11-10069,rep3,dai.5,1,9,OH28
LD11-13802R2,rep1,dai.10,9,9,OH28
LD11-13802R2,rep1,dai.5,9,9,OH28
LD11-13802R2,rep2,dai.10,3,5,OH28
LD11-13802R2,rep2,dai.5,3,5,OH28
LD11-13802R2,rep3,dai.10,10,10,OH28
LD11-13802R2,rep3,dai.5,10,10,OH28
LD11-14102R2,rep1,dai.10,8,9,OH28
LD11-14102R2,rep1,dai.5,8,9,OH28
LD11-14102R2,rep2,dai.10,10,10,OH28
LD11-14102R2,rep2,dai.5,10,10,OH28
LD11-14102R2,rep3,dai.10,10,10,OH28
LD11-14102R2,rep3,dai.5,10,10,OH28
LD11-2170,rep1,dai.10,8,8,OH28
LD11-2170,rep1,dai.5,8,8,OH28
LD11-2170,rep2,dai.10,10,10,OH28
LD11-2170,rep2,dai.5,1,10,OH28
LD11-2170,rep3,dai.10,9,9,OH28
LD11-2170,rep3,dai.5,9,9,OH28
LD11-7311,rep1,dai.10,9,9,OH28
LD11-7311,rep1,dai.5,9,9,OH28
LD11-7311,rep2,dai.10,10,10,OH28
LD11-7311,rep2,dai.5,10,10,OH28
LD11-7311,rep3,dai.10,10,10,OH28
LD11-7311,rep3,dai.5,10,10,OH28
LD12-10534,rep1,dai.10,10,10,OH28
LD12-10534,rep1,dai.5,10,10,OH28
LD12-10534,rep2,dai.10,4,10,OH28
LD12-10534,rep2,dai.5,3,10,OH28
LD12-10534,rep3,dai.10,10,10,OH28
LD12-10534,rep3,dai.5,9,10,OH28
LD12-12701a,rep1,dai.10,7,7,OH28
LD12-12701a,rep1,dai.5,7,7,OH28
LD12-12701a,rep2,dai.10,9,9,OH28
LD12-12701a,rep2,dai.5,9,9,OH28
LD12-12701a,rep3,dai.10,8,8,OH28
LD12-12701a,rep3,dai.5,7,8,OH28
LD12-15064R1a,rep1,dai.10,3,7,OH28
LD12-15064R1a,rep1,dai.5,2,7,OH28
LD12-15064R1a,rep2,dai.10,6,8,OH28
LD12-15064R1a,rep2,dai.5,6,8,OH28
LD12-15064R1a,rep3,dai.10,7,8,OH28
LD12-15064R1a,rep3,dai.5,7,8,OH28
LD12-15129R1a,rep1,dai.10,1,8,OH28
LD12-15129R1a,rep1,dai.5,1,8,OH28
LD12-15129R1a,rep2,dai.10,6,9,OH28
LD12-15129R1a,rep2,dai.5,4,9,OH28
LD12-15129R1a,rep3,dai.10,3,9,OH28
LD12-15129R1a,rep3,dai.5,3,9,OH28
LD12-15156R1a,rep1,dai.10,1,10,OH28
LD12-15156R1a,rep1,dai.5,1,10,OH28
LD12-15156R1a,rep2,dai.10,2,7,OH28
LD12-15156R1a,rep2,dai.5,2,7,OH28
LD12-15156R1a,rep3,dai.10,0,8,OH28
LD12-15156R1a,rep3,dai.5,0,8,OH28
LD12-15246R2a,rep1,dai.10,3,7,OH28
LD12-15246R2a,rep1,dai.5,3,7,OH28
LD12-15246R2a,rep2,dai.10,5,9,OH28
LD12-15246R2a,rep2,dai.5,5,9,OH28
LD12-15246R2a,rep3,dai.10,3,9,OH28
LD12-15246R2a,rep3,dai.5,3,9,OH28
LD12-15609R2,rep1,dai.10,8,8,OH28
LD12-15609R2,rep1,dai.5,8,8,OH28
LD12-15609R2,rep2,dai.10,10,10,OH28
LD12-15609R2,rep2,dai.5,10,10,OH28
LD12-15609R2,rep3,dai.10,8,8,OH28
LD12-15609R2,rep3,dai.5,8,8,OH28
LD12-3866,rep1,dai.10,5,5,OH28
LD12-3866,rep1,dai.5,5,5,OH28
LD12-3866,rep2,dai.10,9,9,OH28
LD12-3866,rep2,dai.5,9,9,OH28
LD12-3866,rep3,dai.10,10,10,OH28
LD12-3866,rep3,dai.5,10,10,OH28
LD12-459,rep1,dai.10,9,9,OH28
LD12-459,rep1,dai.5,9,9,OH28
LD12-459,rep2,dai.10,5,9,OH28
LD12-459,rep2,dai.5,5,9,OH28
