sub_plot,block,variety,treatment,vc_row1,vc_row2,v2_row1,v2_row2,damping_off,r8_row1,r8_row2,weight_lb,moisture,location
17SU0001,1,LD12-15156R1a,intego,26,23,20,23,0,18,23,6.94,12.3,Urbana
17SU0002,1,LD12-15156R1a,control,26,23,20,23,0,20,16,8.03,12.7,Urbana
17SU0003,1,LD13-14071R2,control,24,21,23,23,0,24,20,8.67,12.3,Urbana
17SU0004,1,LD13-14071R2,intego,24,21,20,23,0,20,20,8.68,12.2,Urbana
17SU0005,1,LD12-8677,intego,23,20,25,21,0,20,22,8.4,12.1,Urbana
17SU0006,1,LD12-8677,control,22,20,19,18,0,20,13,8.59,11.8,Urbana
17SU0007,1,LD10-10219,control,24,20,27,21,0,22,17,8.8,12.2,Urbana
17SU0008,1,LD10-10219,intego,29,25,25,26,0,23,21,8.33,12.1,Urbana
17SU0009,1,LD11-7311,intego,25,23,24,24,0,22,22,9.85,11.9,Urbana
17SU0010,1,LD11-7311,control,21,20,20,21,0,17,21,9.48,11.9,Urbana
17SU0011,1,LD11-13802R2,intego,26,24,22,23,0,22,21,9.55,12.4,Urbana
17SU0012,1,LD11-13802R2,control,24,18,23,20,0,17,19,9.38,11.9,Urbana
17SU0013,1,LD11-10069,intego,25,25,25,24,0,22,26,10.03,11.8,Urbana
17SU0014,1,LD11-10069,control,26,22,24,24,0,25,23,10.48,11.7,Urbana
17SU0015,1,LD07-3395bf,intego,26,26,23,22,0,18,24,10.73,12.2,Urbana
17SU0016,1,LD07-3395bf,control,23,21,24,25,0,18,23,10.47,12.4,Urbana
17SU0017,2,LD07-3395bf,intego,23,22,25,24,0,22,26,10.24,12.4,Urbana
17SU0018,2,LD07-3395bf,control,22,18,22,20,0,17,19,10.35,12.3,Urbana
17SU0019,2,LD12-8677,intego,26,21,20,25,0,19,23,9.64,12.5,Urbana
17SU0020,2,LD12-8677,control,19,21,21,23,0,16,21,9.84,11.9,Urbana
17SU0021,2,LD13-14071R2,control,25,20,23,20,0,20,23,9.55,12,Urbana
17SU0022,2,LD13-14071R2,intego,23,23,22,26,0,21,23,10.21,12,Urbana
17SU0023,2,LD11-13802R2,intego,20,24,23,26,0,26,23,9.5,12.2,Urbana
17SU0024,2,LD11-13802R2,control,19,16,24,21,0,16,22,9.39,12.3,Urbana
17SU0025,2,LD10-10219,control,26,19,24,23,0,21,24,9.23,12.3,Urbana
17SU0026,2,LD10-10219,intego,24,24,23,23,0,22,24,9.89,12.5,Urbana
17SU0027,2,LD11-10069,intego,24,26,23,22,0,24,23,10.19,11.8,Urbana
17SU0028,2,LD11-10069,control,25,20,25,22,0,21,22,10.17,11.6,Urbana
17SU0029,2,LD11-7311,intego,20,24,22,23,0,24,17,9.55,11.5,Urbana
17SU0030,2,LD11-7311,control,23,21,22,23,0,21,19,10.01,11.6,Urbana
17SU0031,2,LD12-15156R1a,intego,21,24,24,23,0,19,21,9.29,11.8,Urbana
17SU0032,2,LD12-15156R1a,control,23,15,19,19,0,21,21,9.16,11.9,Urbana
17SU0033,3,LD11-7311,control,16,21,20,21,0,21,18,9.78,11.8,Urbana
17SU0034,3,LD11-7311,intego,24,19,21,23,0,21,23,10.49,11.9,Urbana
17SU0035,3,LD12-15156R1a,intego,26,21,20,20,0,20,24,9.38,12,Urbana
17SU0036,3,LD12-15156R1a,control,24,17,21,28,0,20,24,9.05,11.8,Urbana
17SU0037,3,LD11-10069,intego,23,21,24,25,0,20,24,9.7,11.5,Urbana
17SU0038,3,LD11-10069,control,23,25,21,23,0,20,21,10.57,11.7,Urbana
17SU0039,3,LD10-10219,control,23,24,19,17,0,20,22,8.76,12.1,Urbana
17SU0040,3,LD10-10219,intego,26,26,17,25,0,22,26,9.81,12.1,Urbana
17SU0041,3,LD12-8677,control,19,18,22,17,1,14,19,9.14,12.2,Urbana
17SU0042,3,LD12-8677,intego,22,21,23,16,0,20,17,9.85,12.2,Urbana
17SU0043,3,LD11-13802R2,intego,24,27,26,23,0,23,24,10.58,12.7,Urbana
17SU0044,3,LD11-13802R2,control,20,15,23,20,0,17,18,9.4,12.9,Urbana
17SU0045,3,LD13-14071R2,intego,26,25,26,22,0,21,23,9.52,12.4,Urbana
17SU0046,3,LD13-14071R2,control,23,21,18,20,0,24,21,10.43,12.1,Urbana
17SU0047,3,LD07-3395bf,intego,23,21,22,24,0,22,21,9.34,12.2,Urbana
17SU0048,3,LD07-3395bf,control,22,15,20,23,0,22,18,9.56,12,Urbana
17SU0049,4,LD11-13802R2,control,24,17,21,24,0,22,20,9.49,12.7,Urbana
17SU0050,4,LD11-13802R2,intego,26,21,20,25,0,23,19,10.2,12.6,Urbana
17SU0051,4,LD11-7311,intego,21,25,21,25,0,16,20,10.45,12,Urbana
17SU0052,4,LD11-7311,control,16,21,21,21,0,21,22,10.2,11.8,Urbana
17SU0053,4,LD10-10219,intego,27,23,23,22,0,26,24,9.91,12.2,Urbana
17SU0054,4,LD10-10219,control,29,17,25,20,0,24,24,9.25,12,Urbana
17SU0055,4,LD11-10069,control,25,22,22,20,0,21,20,10.51,11.8,Urbana
17SU0056,4,LD11-10069,intego,25,22,25,25,0,23,25,10.15,11.8,Urbana
17SU0057,4,LD12-8677,intego,26,26,20,24,0,20,22,9.43,12.2,Urbana
17SU0058,4,LD12-8677,control,25,24,24,20,0,17,19,9.38,12.2,Urbana
17SU0059,4,LD07-3395bf,intego,24,20,18,19,0,17,23,10.68,12.6,Urbana
17SU0060,4,LD07-3395bf,control,21,15,21,20,0,18,20,10.2,12.4,Urbana
17SU0061,4,LD13-14071R2,intego,25,15,24,16,0,16,20,9.54,12.1,Urbana
17SU0062,4,LD13-14071R2,control,27,19,22,23,0,18,19,9.97,12.2,Urbana
17SU0063,4,LD12-15156R1a,intego,21,21,26,20,0,24,24,8.55,11.7,Urbana
17SU0064,4,LD12-15156R1a,control,17,19,18,17,0,20,20,9.16,11.6,Urbana
17SM0001,1,LD07-3395bf,intego,19,17,16,19,2,NA,NA,7.209358,11.378965000000001,Monmouth
17SM0002,1,LD07-3395bf,control,14,17,20,20,1,NA,NA,7.731338,11.262754,Monmouth
17SM0003,1,LD11-13802R2,control,13,17,14,17,7,NA,NA,7.20708,13.121201,Monmouth
17SM0004,1,LD11-13802R2,intego,16,17,15,16,4,NA,NA,8.947972,11.314565,Monmouth
17SM0005,1,LD12-15156R1a,intego,14,24,16,19,2,NA,NA,7.940868,11.717734,Monmouth
17SM0006,1,LD12-15156R1a,control,19,16,16,16,1,NA,NA,7.462261,11.155365,Monmouth
17SM0007,1,LD12-8677,intego,15,11,18,13,1,NA,NA,6.655928,12.660267,Monmouth
17SM0008,1,LD12-8677,control,14,7,14,19,2,NA,NA,5.712433,11.9212,Monmouth
17SM0009,1,LD10-10219,intego,16,13,17,15,2,NA,NA,8.908791,10.919766,Monmouth
17SM0010,1,LD10-10219,control,15,18,13,13,7,NA,NA,7.595595,10.619012,Monmouth
17SM0011,1,LD11-7311,intego,16,19,20,21,0,NA,NA,7.19464,12.365646,Monmouth
17SM0012,1,LD11-7311,control,18,17,16,15,3,NA,NA,0,10.364025,Monmouth
17SM0013,1,LD11-10069,control,21,19,19,20,0,NA,NA,7.791138,11.806623,Monmouth
17SM0014,1,LD11-10069,intego,19,20,25,21,0,NA,NA,6.943701,10.67007,Monmouth
17SM0015,1,LD13-14071R2,intego,20,13,15,22,1,NA,NA,7.792266,12.262177,Monmouth
17SM0016,1,LD13-14071R2,control,19,7,18,18,2,NA,NA,6.766981,10.84654,Monmouth
17SM0017,2,LD07-3395bf,control,19,13,15,13,2,NA,NA,7.598253,11.608,Monmouth
17SM0018,2,LD07-3395bf,intego,16,17,25,16,0,NA,NA,7.494117,11.492541,Monmouth
17SM0019,2,LD12-15156R1a,intego,25,23,20,19,0,NA,NA,6.919547,12.221202,Monmouth
17SM0020,2,LD12-15156R1a,control,17,11,18,21,0,NA,NA,0,0.058252,Monmouth
17SM0021,2,LD11-10069,intego,23,14,17,20,1,NA,NA,6.390013,11.0844,Monmouth
17SM0022,2,LD11-10069,control,11,17,11,18,0,NA,NA,7.5,10.775953,Monmouth
17SM0023,2,LD11-7311,control,17,16,16,19,0,NA,NA,7.100542,12.999334,Monmouth
17SM0024,2,LD11-7311,intego,23,9,14,12,0,NA,NA,6.018126,12.904712,Monmouth
17SM0025,2,LD13-14071R2,intego,15,21,21,19,0,NA,NA,8.203094,10.93666,Monmouth
17SM0026,2,LD13-14071R2,control,10,12,22,19,2,NA,NA,8.184848,10.777837,Monmouth
17SM0027,2,LD11-13802R2,control,8,12,15,13,4,NA,NA,8.940904,13.315823,Monmouth
17SM0028,2,LD11-13802R2,intego,15,14,14,19,3,NA,NA,8.582362,11.97329,Monmouth
17SM0029,2,LD12-8677,intego,13,11,18,17,0,NA,NA,7.081112,12.673289,Monmouth
17SM0030,2,LD12-8677,control,12,16,17,17,3,NA,NA,6.5,12.551065,Monmouth
17SM0031,2,LD10-10219,control,16,9,12,8,0,NA,NA,7.162552,11.330707,Monmouth
17SM0032,2,LD10-10219,intego,14,4,21,21,0,NA,NA,8.204107,11.851067,Monmouth
17SM0033,3,LD10-10219,intego,14,11,23,16,0,NA,NA,9.047772,11.342542,Monmouth
17SM0034,3,LD10-10219,control,19,20,22,16,0,NA,NA,8.654165,10.671576,Monmouth
17SM0035,3,LD11-7311,intego,22,14,19,20,1,NA,NA,7.4136,13.0936,Monmouth
17SM0036,3,LD11-7311,control,18,19,15,11,0,NA,NA,7.981406,12.184402,Monmouth
17SM0037,3,LD11-13802R2,intego,20,12,22,19,2,NA,NA,8.018659,13.35489,Monmouth
17SM0038,3,LD11-13802R2,control,10,14,11,8,3,NA,NA,6.943985,13.706624,Monmouth
17SM0039,3,LD07-3395bf,intego,11,17,16,22,0,NA,NA,7.38281,12.479023,Monmouth
17SM0040,3,LD07-3395bf,control,17,12,12,14,0,NA,NA,8.088533,12.210443,Monmouth
17SM0041,3,LD11-10069,intego,19,19,16,23,0,NA,NA,7.209229,11.050988,Monmouth
17SM0042,3,LD11-10069,control,16,12,22,16,1,NA,NA,6.443097,10.644731,Monmouth
17SM0043,3,LD12-15156R1a,control,13,24,18,17,1,NA,NA,6.642777,12.062178,Monmouth
17SM0044,3,LD12-15156R1a,intego,21,14,16,16,0,NA,NA,6.043826,10.324825,Monmouth
17SM0045,3,LD13-14071R2,control,25,17,15,22,5,NA,NA,8.159823,11.932668,Monmouth
17SM0046,3,LD13-14071R2,intego,25,10,19,17,3,NA,NA,7.178448,11.410118,Monmouth
17SM0047,3,LD12-8677,control,19,18,22,23,4,NA,NA,7.312946,12.623467,Monmouth
17SM0048,3,LD12-8677,intego,16,14,16,18,6,NA,NA,8.131207,11.8568,Monmouth
17SM0049,4,LD11-13802R2,control,19,15,16,18,2,NA,NA,8.547036,12.787868,Monmouth
17SM0050,4,LD11-13802R2,intego,19,13,23,22,0,NA,NA,7.79485,12.610089,Monmouth
17SM0051,4,LD11-7311,control,18,21,16,21,0,NA,NA,7.015151,12.132669,Monmouth
17SM0052,4,LD11-7311,intego,23,21,20,19,0,NA,NA,6.947537,11.498354,Monmouth
17SM0053,4,LD11-10069,intego,22,19,21,21,1,NA,NA,7.289569,11.27739,Monmouth
17SM0054,4,LD11-10069,control,22,8,18,14,0,NA,NA,7.285065,11.410118,Monmouth
17SM0055,4,LD10-10219,control,16,11,18,12,4,NA,NA,9.690916,11.925378,Monmouth
17SM0056,4,LD10-10219,intego,17,7,18,16,1,NA,NA,8.689521,11.780933,Monmouth
17SM0057,4,LD13-14071R2,intego,15,20,18,20,1,NA,NA,8.797939,11.412376,Monmouth
17SM0058,4,LD13-14071R2,control,10,21,16,18,2,NA,NA,7.61989,10.79473,Monmouth
17SM0059,4,LD12-15156R1a,intego,14,21,19,19,3,NA,NA,7.299972,11.330707,Monmouth
17SM0060,4,LD12-15156R1a,control,13,21,15,17,1,NA,NA,6.657043,10.324449,Monmouth
17SM0061,4,LD12-8677,control,18,19,18,21,2,NA,NA,6.638903,12.401245,Monmouth
17SM0062,4,LD12-8677,intego,15,16,13,25,1,NA,NA,7.010006,12.343778,Monmouth
17SM0063,4,LD07-3395bf,control,20,17,20,13,2,NA,NA,9.369656,12.429199,Monmouth
17SM0064,4,LD07-3395bf,intego,26,14,18,17,3,NA,NA,8.72953,11.471128,Monmouth
