sub_plot,block,variety,treatment,vc_row1,vc_row2,v2_row1,v2_row2,damping_off,r8_row1,r8_row2,weight_lb,moisture,location
17SR0001,1,LD11-10069,control,24,17,26,22,0,NA,NA,12.41,9.68,Orr
17SR0002,1,LD11-10069,intego,20,22,24,23,4,NA,NA,12.76,9.82,Orr
17SR0003,1,LD11-7311,control,17,9,16,19,3,NA,NA,12.04,9.49,Orr
17SR0004,1,LD11-7311,intego,19,22,18,19,4,NA,NA,12.01,9.32,Orr
17SR0005,1,LD13-14071R2,control,18,17,21,17,0,NA,NA,12.4,9.75,Orr
17SR0006,1,LD13-14071R2,intego,17,16,27,18,0,NA,NA,12.13,9.78,Orr
17SR0007,1,LD11-13802R2,control,14,16,16,19,2,NA,NA,11.69,9.43,Orr
17SR0008,1,LD11-13802R2,intego,14,18,22,11,0,NA,NA,11.12,9.57,Orr
17SR0009,1,LD12-15156R1a,intego,17,21,24,18,0,NA,NA,11.97,9.92,Orr
17SR0010,1,LD12-15156R1a,control,15,13,19,18,2,NA,NA,10.85,9.63,Orr
17SR0011,1,LD12-8677,intego,16,19,18,20,2,NA,NA,11.63,9.4,Orr
17SR0012,1,LD12-8677,control,10,19,18,16,7,NA,NA,11.4,9.49,Orr
17SR0013,1,LD10-10219,control,11,12,17,14,0,NA,NA,11.74,10,Orr
17SR0014,1,LD10-10219,intego,17,22,19,18,2,NA,NA,12.29,9.87,Orr
17SR0015,1,LD07-3395bf,intego,18,21,17,21,2,NA,NA,13.07,9.83,Orr
17SR0016,1,LD07-3395bf,control,12,17,19,16,2,NA,NA,12.69,9.72,Orr
17SR0017,2,LD13-14071R2,control,15,20,20,16,0,NA,NA,12.44,9.75,Orr
17SR0018,2,LD13-14071R2,intego,15,21,20,19,1,NA,NA,12.56,9.79,Orr
17SR0019,2,LD11-10069,control,16,19,17,26,0,NA,NA,11.83,9.76,Orr
17SR0020,2,LD11-10069,intego,22,17,24,16,3,NA,NA,11.58,9.97,Orr
17SR0021,2,LD11-13802R2,intego,22,22,19,15,2,NA,NA,12.5,9.5,Orr
17SR0022,2,LD11-13802R2,control,9,8,20,16,4,NA,NA,11.52,9.79,Orr
17SR0023,2,LD07-3395bf,intego,17,12,19,16,1,NA,NA,13.06,9.83,Orr
17SR0024,2,LD07-3395bf,control,13,8,15,18,7,NA,NA,12.34,9.95,Orr
17SR0025,2,LD12-15156R1a,intego,23,19,23,24,1,NA,NA,11.78,9.82,Orr
17SR0026,2,LD12-15156R1a,control,12,16,19,19,5,NA,NA,11.28,9.84,Orr
17SR0027,2,LD10-10219,control,17,14,17,21,0,NA,NA,12.02,9.77,Orr
17SR0028,2,LD10-10219,intego,16,6,21,19,4,NA,NA,11.95,9.83,Orr
17SR0029,2,LD12-8677,control,18,19,20,21,2,NA,NA,11.89,9.43,Orr
17SR0030,2,LD12-8677,intego,16,17,20,20,3,NA,NA,11.64,9.85,Orr
17SR0031,2,LD11-7311,intego,16,20,16,19,0,NA,NA,13.2,9.32,Orr
17SR0032,2,LD11-7311,control,12,13,16,15,5,NA,NA,12.36,9.49,Orr
17SR0033,3,LD07-3395bf,control,20,19,21,21,1,NA,NA,12.91,9.68,Orr
17SR0034,3,LD07-3395bf,intego,18,24,15,18,3,NA,NA,13.27,9.84,Orr
17SR0035,3,LD12-15156R1a,control,8,15,13,18,1,NA,NA,11.35,9.61,Orr
17SR0036,3,LD12-15156R1a,intego,17,19,23,18,0,NA,NA,11.13,9.69,Orr
17SR0037,3,LD11-7311,control,16,17,14,21,1,NA,NA,11.77,9.44,Orr
17SR0038,3,LD11-7311,intego,20,13,16,22,NA,NA,NA,12.14,9.7,Orr
17SR0039,3,LD11-10069,control,20,18,18,18,2,NA,NA,11.74,9.68,Orr
17SR0040,3,LD11-10069,intego,16,23,21,15,3,NA,NA,12.49,9.84,Orr
17SR0041,3,LD13-14071R2,intego,22,12,15,16,2,NA,NA,11.82,9.94,Orr
17SR0042,3,LD13-14071R2,control,15,14,18,12,1,NA,NA,12.49,9.85,Orr
17SR0043,3,LD10-10219,intego,17,16,22,21,0,NA,NA,12.72,10,Orr
17SR0044,3,LD10-10219,control,3,17,19,15,2,NA,NA,11.49,9.97,Orr
17SR0045,3,LD12-8677,control,18,19,19,17,2,NA,NA,12.22,9.64,Orr
17SR0046,3,LD12-8677,intego,22,22,23,21,2,NA,NA,12.26,9.56,Orr
17SR0047,3,LD11-13802R2,control,8,17,15,20,2,NA,NA,11.66,9.95,Orr
17SR0048,3,LD11-13802R2,intego,10,19,22,15,4,NA,NA,12.45,9.9,Orr
17SR0049,4,LD12-8677,control,20,19,22,20,5,NA,NA,11.65,9.6,Orr
17SR0050,4,LD12-8677,intego,13,22,24,19,3,NA,NA,12.04,9.82,Orr
17SR0051,4,LD10-10219,intego,17,18,16,20,1,NA,NA,12.12,9.99,Orr
17SR0052,4,LD10-10219,control,19,15,21,15,1,NA,NA,11.95,9.89,Orr
17SR0053,4,LD11-7311,control,16,17,19,22,1,NA,NA,12.37,9.32,Orr
17SR0054,4,LD11-7311,intego,19,19,22,17,NA,NA,NA,11.99,9.44,Orr
17SR0055,4,LD11-13802R2,intego,13,8,11,14,3,NA,NA,11.18,9.8,Orr
17SR0056,4,LD11-13802R2,control,9,14,19,15,6,NA,NA,12.12,9.73,Orr
17SR0057,4,LD11-10069,control,24,24,24,22,4,NA,NA,11.49,9.79,Orr
17SR0058,4,LD11-10069,intego,20,23,25,22,2,NA,NA,11.9,9.89,Orr
17SR0059,4,LD13-14071R2,intego,16,18,18,22,1,NA,NA,12.01,10.1,Orr
17SR0060,4,LD13-14071R2,control,21,18,24,20,2,NA,NA,12.17,9.81,Orr
17SR0061,4,LD07-3395bf,control,16,17,17,21,2,NA,NA,13.57,10,Orr
17SR0062,4,LD07-3395bf,intego,16,16,26,20,NA,NA,NA,11.88,9.88,Orr
17SR0063,4,LD12-15156R1a,intego,16,20,19,24,1,NA,NA,10.17,9.95,Orr
17SR0064,4,LD12-15156R1a,control,12,18,13,20,0,NA,NA,11.46,9.69,Orr
