isolate_pathotype,rep,line,dead_seedlings,total_seedlings
OH3,1,LD12-459,1,12
OH3,2,LD12-459,8,10
OH3,3,LD12-459,9,10
OH3,1,LD12-6010a,12,12
OH3,2,LD12-6010a,11,12
OH3,3,LD12-6010a,9,10
OH3,1,LD12-8677,4,10
OH3,2,LD12-8677,0,10
OH3,3,LD12-8677,4,11
OH3,1,LD11-13802R2,1,11
OH3,2,LD11-13802R2,0,11
OH3,3,LD11-13802R2,0,9
OH3,1,LD11-14102R2,4,12
OH3,2,LD11-14102R2,5,10
OH3,3,LD11-14102R2,4,12
OH3,1,LD12-15064R1a,1,9
OH3,2,LD12-15064R1a,0,6
OH3,3,LD12-15064R1a,0,6
OH3,1,LD12-15129R1a,0,6
OH3,2,LD12-15129R1a,0,9
OH3,3,LD12-15129R1a,0,7
OH3,1,LD12-15156R1a,0,9
OH3,2,LD12-15156R1a,0,10
OH3,3,LD12-15156R1a,0,9
OH3,1,LD12-15246R2a,7,12
OH3,2,LD12-15246R2a,11,11
OH3,3,LD12-15246R2a,6,10
OH3,1,LD12-15609R2,8,10
OH3,2,LD12-15609R2,11,12
OH3,3,LD12-15609R2,11,12
OH3,1,LD13-13334R1a,1,8
OH3,2,LD13-13334R1a,0,8
OH3,3,LD13-13334R1a,2,7
OH3,1,LD13-13478R1a,11,12
OH3,2,LD13-13478R1a,12,12
OH3,3,LD13-13478R1a,13,13
OH3,1,LD13-14071R2,0,6
OH3,2,LD13-14071R2,0,9
OH3,3,LD13-14071R2,2,11
OH3,1,Harosoy 62XX (Rps6),0,10
OH3,2,Harosoy 62XX (Rps6),1,11
OH3,3,Harosoy 62XX (Rps6),0,10
OH3,1,Williams (rps),5,6
OH3,2,Williams (rps),8,9
OH3,3,Williams (rps),4,5
OH3,1,Harlon (Rps1a),0,9
OH3,2,Harlon (Rps1a),0,9
OH3,3,Harlon (Rps1a),1,9
OH3,1,Williams 79 (Rps1c),0,10
OH3,2,Williams 79 (Rps1c),0,11
OH3,3,Williams 79 (Rps1c),0,10
OH3,1,Harosoy (Rps7),8,9
OH3,2,Harosoy (Rps7),5,10
OH3,3,Harosoy (Rps7),6,10
OH3,1,Harosoy 13x (Rps1b),2,7
OH3,2,Harosoy 13x (Rps1b),2,10
OH3,3,Harosoy 13x (Rps1b),1,9
