variety,treatment,block,vc_row1,vc_row2,v2_row1,v2_row2,v4_row1,v4_row2,r8_row1,r8_row2,weight,moisture,yield_bu.acre
LD12-15129R1a,intego,4,66,58,64,59,66,58,46,50,6.21,14.8,49.05757241379311
LD12-15064R1a,intego,4,64,33,62,34,34,70,45,28,6.5,14.5,51.52931034482758
LD12-15064R1a,control,4,64,56,65,54,54,59,50,49,7.04,14.7,55.67965670498084
LD12-15156R1a,intego,4,56,55,60,56,56,56,37,44,6.8,13.5,54.53808429118774
LD12-15156R1a,control,4,34,54,54,38,37,55,43,31,6.12,13.4,49.14102068965517
LD11-7311,control,4,55,59,59,58,59,58,45,47,6.96,13.6,55.756800000000005
LD11-7311,intego,4,69,64,68,64,62,64,50,51,7.27,14,57.97059003831417
LD10-10219,intego,4,60,69,64,67,58,58,51,59,7.67,13.8,61.30240153256706
LD10-10219,control,4,66,60,68,60,61,59,52,50,8.6,14.1,68.49619923371647
LD13-14071R2,intego,4,64,50,63,52,52,64,32,42,8.8699999999999992,14,70.72890421455939
LD13-14071R2,control,4,59,57,59,57,56,63,50,42,7.35,13.9,58.67665517241379
LD13-13478R1a,control,4,54,61,54,62,57,61,48,55,5.79,12.4,47.02811034482759
LD13-13478R1a,intego,4,58,54,57,58,56,55,50,52,5.71,12.6,46.272439846743296
