Date/Time,Range,Row,Weight,Moisture,Quick Note,Harvest Sequence,,Plot
10/18/2017 12:38,1,12,8.18,11.3,,101,,
10/18/2017 12:38,2,12,11.01,12.1,,102,,
10/18/2017 12:39,3,12,10.22,12.1,,103,,
10/18/2017 12:39,4,12,10.34,11.7,,104,,
10/18/2017 12:40,5,12,10.51,11.8,,105,,
10/18/2017 12:40,6,12,10.73,11.7,,106,,
10/18/2017 12:41,7,12,10.65,11.7,,107,,
10/18/2017 12:41,8,12,9.89,11.8,,108,,
10/18/2017 12:42,9,12,7.57,12,,109,,
10/18/2017 12:42,10,12,0.32,0.18,,110,,
10/18/2017 12:43,10,13,0.04,0.18,,111,,
10/18/2017 12:43,9,13,7.4,11.6,,112,,
10/18/2017 12:44,8,13,9.67,11.9,,113,,
10/18/2017 12:44,7,13,9.99,12.1,,114,,
10/18/2017 12:45,6,13,10.27,11.7,,115,,
10/18/2017 12:45,5,13,9.27,11.9,,116,,
10/18/2017 12:46,4,13,10.08,11.7,,117,,
10/18/2017 12:46,3,13,9.8,11.7,,118,,
10/18/2017 12:47,2,13,9.59,11.6,,119,,
10/18/2017 12:47,1,13,6.5,11.1,,120,,
10/18/2017 12:48,1,14,7.39,11.2,,121,,
10/18/2017 12:49,2,14,10.61,11.7,,122,,
10/18/2017 12:50,3,14,10.67,11.9,,123,,
10/18/2017 12:50,4,14,10.75,12,,124,,
10/18/2017 12:51,5,14,10.66,11.8,,125,,
10/18/2017 12:51,6,14,10.2,11.7,,126,,
10/18/2017 12:52,7,14,10.83,11.7,,127,,
10/18/2017 12:52,8,14,9.74,11.8,,128,,
10/18/2017 12:53,9,14,7.64,11.8,,129,,
10/18/2017 12:53,10,14,0.01,0.18,,130,,
